Date,Rate
3/26/2021,0.25
3/25/2021,0.25
3/24/2021,0.25
3/23/2021,0.25
3/22/2021,0.25
3/19/2021,0.25
3/18/2021,0.25
3/17/2021,0.25
3/16/2021,0.25
3/15/2021,0.25
3/12/2021,0.25
3/11/2021,0.25
3/10/2021,0.25
3/9/2021,0.25
3/8/2021,0.25
3/5/2021,0.25
3/4/2021,0.25
3/3/2021,0.25
3/2/2021,0.25
3/1/2021,0.25
2/26/2021,0.25
2/25/2021,0.25
2/24/2021,0.25
2/23/2021,0.25
2/22/2021,0.25
2/19/2021,0.25
2/18/2021,0.25
2/17/2021,0.25
2/16/2021,0.25
2/15/2021,0.25
2/12/2021,0.25
2/11/2021,0.25
2/10/2021,0.25
2/9/2021,0.25
2/8/2021,0.25
2/5/2021,0.25
2/4/2021,0.25
2/3/2021,0.25
2/2/2021,0.25
2/1/2021,0.25
1/29/2021,0.25
1/28/2021,0.25
1/27/2021,0.25
1/26/2021,0.25
1/25/2021,0.25
1/22/2021,0.25
1/21/2021,0.25
1/20/2021,0.25
1/19/2021,0.25
1/18/2021,0.25
1/15/2021,0.25
1/14/2021,0.25
1/13/2021,0.25
1/12/2021,0.25
1/11/2021,0.25
1/8/2021,0.25
1/7/2021,0.25
1/6/2021,0.25
1/5/2021,0.25
1/4/2021,0.25
1/1/2021,0.25
12/31/2020,0.25
12/30/2020,0.25
12/29/2020,0.25
12/25/2020,0.25
12/24/2020,0.25
12/23/2020,0.25
12/22/2020,0.25
12/21/2020,0.25
12/18/2020,0.25
12/17/2020,0.25
12/16/2020,0.25
12/15/2020,0.25
12/14/2020,0.25
12/11/2020,0.25
12/10/2020,0.25
12/9/2020,0.25
12/8/2020,0.25
12/7/2020,0.25
12/4/2020,0.25
12/3/2020,0.25
12/2/2020,0.25
12/1/2020,0.25
11/30/2020,0.25
11/27/2020,0.25
11/26/2020,0.25
11/25/2020,0.25
11/24/2020,0.25
11/23/2020,0.25
11/20/2020,0.25
11/19/2020,0.25
11/18/2020,0.25
11/17/2020,0.25
11/16/2020,0.25
11/13/2020,0.25
11/12/2020,0.25
11/11/2020,0.25
11/10/2020,0.25
11/9/2020,0.25
11/6/2020,0.25
11/5/2020,0.25
11/4/2020,0.25
11/3/2020,0.25
11/2/2020,0.25
10/30/2020,0.25
10/29/2020,0.25
10/28/2020,0.25
10/27/2020,0.25
10/26/2020,0.25
10/23/2020,0.25
10/22/2020,0.25
10/21/2020,0.25
10/20/2020,0.25
10/19/2020,0.25
10/16/2020,0.25
10/15/2020,0.25
10/14/2020,0.25
10/13/2020,0.25
10/12/2020,0.25
10/9/2020,0.25
10/8/2020,0.25
10/7/2020,0.25
10/6/2020,0.25
10/5/2020,0.25
10/2/2020,0.25
10/1/2020,0.25
9/30/2020,0.25
9/29/2020,0.25
9/28/2020,0.25
9/25/2020,0.25
9/24/2020,0.25
9/23/2020,0.25
9/22/2020,0.25
9/21/2020,0.25
9/18/2020,0.25
9/17/2020,0.25
9/16/2020,0.25
9/15/2020,0.25
9/14/2020,0.25
9/11/2020,0.25
9/10/2020,0.25
9/9/2020,0.25
9/8/2020,0.25
9/7/2020,0.25
9/4/2020,0.25
9/3/2020,0.25
9/2/2020,0.25
9/1/2020,0.25
8/31/2020,0.25
8/28/2020,0.25
8/27/2020,0.25
8/26/2020,0.25
8/25/2020,0.25
8/24/2020,0.25
8/21/2020,0.25
8/20/2020,0.25
8/19/2020,0.25
8/18/2020,0.25
8/17/2020,0.25
8/14/2020,0.25
8/13/2020,0.25
8/12/2020,0.25
8/11/2020,0.25
8/10/2020,0.25
8/7/2020,0.25
8/6/2020,0.25
8/5/2020,0.25
8/4/2020,0.25
8/3/2020,0.25
7/31/2020,0.25
7/30/2020,0.25
7/29/2020,0.25
7/28/2020,0.25
7/27/2020,0.25
7/24/2020,0.25
7/23/2020,0.25
7/22/2020,0.25
7/21/2020,0.25
7/20/2020,0.25
7/17/2020,0.25
7/16/2020,0.25
7/15/2020,0.25
7/14/2020,0.25
7/13/2020,0.25
7/10/2020,0.25
7/9/2020,0.25
7/8/2020,0.25
7/7/2020,0.25
7/6/2020,0.25
7/3/2020,0.25
7/2/2020,0.25
7/1/2020,0.25
6/30/2020,0.25
6/29/2020,0.25
6/26/2020,0.25
6/25/2020,0.25
6/24/2020,0.25
6/23/2020,0.25
6/22/2020,0.25
6/19/2020,0.25
6/18/2020,0.25
6/17/2020,0.25
6/16/2020,0.25
6/15/2020,0.25
6/12/2020,0.25
